CD_CONTA,STANDARD_NAME,STATEMENT_TYPE,EMPRESA_TIPO,NIVEL,IS_CONSOLIDADO
1.01,Ativo Circulante,BPA,comercial,2,False
1.01.01,Caixa e Equivalentes de Caixa,BPA,comercial,3,False
1.01.02,Aplicações Financeiras,BPA,comercial,3,False
1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,BPA,comercial,4,False
1.01.02.01.01,Títulos para Negociação,BPA,comercial,5,False
1.01.02.01.02,Títulos Disponíveis para Venda,BPA,comercial,5,False
1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,BPA,comercial,4,False
1.01.02.02.01,Títulos Mantidos até o Vencimento,BPA,comercial,5,False
1.01.03,Contas a Receber,BPA,comercial,3,False
1.01.03.01,Clientes,BPA,comercial,4,False
1.01.03.02,Outras Contas a Receber,BPA,comercial,4,False
1.01.04,Estoques,BPA,comercial,3,False
1.01.05,Ativos Biológicos,BPA,comercial,3,False
1.01.06,Tributos a Recuperar,BPA,comercial,3,False
1.01.06.01,Tributos Correntes a Recuperar,BPA,comercial,4,False
1.01.07,Despesas Antecipadas,BPA,comercial,3,False
1.01.08,Outros Ativos Circulantes,BPA,comercial,3,False
1.01.08.01,Ativos Não-Correntes a Venda,BPA,comercial,4,False
1.01.08.02,Ativos de Operações Descontinuadas,BPA,comercial,4,False
1.01.08.03,Outros,BPA,comercial,4,False
1.02,Ativo Não Circulante,BPA,comercial,2,False
1.02.01,Ativo Realizável a Longo Prazo,BPA,comercial,3,False
1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,BPA,comercial,4,False
1.02.01.01.01,Títulos para Negociação,BPA,comercial,5,False
1.02.01.01.02,Títulos Disponíveis para Venda,BPA,comercial,5,False
1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,BPA,comercial,4,False
1.02.01.02.01,Títulos Mantidos até o Vencimento,BPA,comercial,5,False
1.02.01.03,Contas a Receber,BPA,comercial,4,False
1.02.01.03.01,Clientes,BPA,comercial,5,False
1.02.01.03.02,Outras Contas a Receber,BPA,comercial,5,False
1.02.01.04,Estoques,BPA,comercial,4,False
1.02.01.05,Ativos Biológicos,BPA,comercial,4,False
1.02.01.06,Tributos Diferidos,BPA,comercial,4,False
1.02.01.06.01,Imposto de Renda e Contribuição Social Diferidos,BPA,comercial,5,False
1.02.01.07,Despesas Antecipadas,BPA,comercial,4,False
1.02.01.08,Créditos com Partes Relacionadas,BPA,comercial,4,False
1.02.01.08.01,Créditos com Coligadas,BPA,comercial,5,False
